id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_numeric,price_30_days,price_category
38804226,Your home in the best part of Palermo,218951521,Geraldine,Palermo,-34.5892,-58.42275,Entire home/apt,"$1,527.00",40,1,2020-03-08,0.6,3,288,1527.0,45810.0,low
38812884,Heaven's Door - parque chas,120782604,Sharon,Parque Chas,-34.58259,-58.47484,Entire home/apt,"$1,726.00",2,3,2020-01-24,0.58,3,84,1726.0,51780.0,medium
38816080,CASA DEVOTO 2º C,222733440,Javier Andres,Villa Devoto,-34.58815,-58.51556,Entire home/apt,"$5,178.00",1,3,2020-01-02,0.51,5,213,5178.0,155340.0,high
38817787,Tu espacio en Nuñez,138429858,Marilia,Núñez,-34.54352,-58.4723,Entire home/apt,"$1,593.00",3,0,,0.0,1,122,1593.0,47790.0,low
38820330,Funcional departamento,33996563,Fabricio,Belgrano,-34.55373,-58.45865,Entire home/apt,"$5,775.00",1,1,2019-09-25,0.14,1,179,5775.0,173250.0,high
38821183,SWEET HOME SILCAR (amabilidad y cortesia),195685142,Carlos Alberto,Caballito,-34.6141,-58.44393,Private room,"$1,328.00",1,0,,0.0,1,170,1328.0,39840.0,low
38821812,Departamento luminoso en la mejor zona,90432034,Aldo,Balvanera,-34.59976,-58.40899,Entire home/apt,"$1,659.00",5,6,2020-03-31,1.18,1,63,1659.0,49770.0,low
38822040,Puravida Apartamentos #Cerca de todo,226336201,Analia,Villa Urquiza,-34.56452,-58.48,Entire home/apt,"$3,319.00",2,16,2020-03-16,2.54,1,75,3319.0,99570.0,high
38822042,Experiencia Palermo Hollywood,194557905,Ignacio,Palermo,-34.57521,-58.44135,Entire home/apt,"$2,191.00",7,8,2020-03-18,1.68,1,358,2191.0,65730.0,medium
38822051,Sunny and spacious apartment in Palermo Hollywood,252810478,Graciela,Palermo,-34.57569,-58.43347,Entire home/apt,"$2,058.00",3,20,2020-02-23,2.93,1,166,2058.0,61740.0,medium
38822078,Excelente ubicación Retiro/Recoleta. Muy luminoso,258250521,Clara Teresa,Retiro,-34.59692,-58.38626,Entire home/apt,"$2,323.00",2,7,2020-02-16,0.98,1,128,2323.0,69690.0,medium
38822173,Classic Charm Recoleta,20265191,Santiago,Recoleta,-34.59231,-58.40843,Entire home/apt,"$2,987.00",4,4,2020-02-19,0.86,1,166,2987.0,89610.0,high
38822191,Apartamento divino en Recoleta,1038666,Ana,Recoleta,-34.59176,-58.4064,Entire home/apt,"$2,655.00",2,2,2020-02-15,0.33,1,353,2655.0,79650.0,medium
38822394,Sunny studio in the heart of Palermo soho,297194253,Roberto,Palermo,-34.59279,-58.4259,Entire home/apt,"$1,460.00",2,33,2020-03-15,4.88,1,171,1460.0,43800.0,low
38822416,HABITACION CON BAÑO Y COCINA PRIVADA,210186674,Graciela,Parque Patricios,-34.63525,-58.40711,Private room,"$2,191.00",1,0,,0.0,1,83,2191.0,65730.0,medium
38823488,Modern apartment in Palermo. Unbeatable location!!,168538840,Susana,Palermo,-34.57674,-58.42213,Entire home/apt,"$2,522.00",3,8,2020-03-06,1.19,1,365,2522.0,75660.0,medium
38823877,Luminoso Departamento con gran terraza en Palermo!,35395511,Sofia,Palermo,-34.58345,-58.40136,Entire home/apt,"$2,788.00",3,3,2020-03-15,0.47,6,364,2788.0,83640.0,medium
38824905,WONDERFUL SOHO Los Arcos Apart  With Amenities I,170209245,Tami,Palermo,-34.58238,-58.42763,Entire home/apt,"$2,323.00",1,13,2020-02-18,1.94,4,180,2323.0,69690.0,medium
38825558,Habitación Sobre Av Cabildo,105885487,Fernando,Núñez,-34.54815,-58.46863,Private room,"$1,394.00",3,0,,0.0,3,365,1394.0,41820.0,low
38827386,EXPERIENCIA GENIAL PARAGUAY & BULNES. Palermo,6625246,Franco,Palermo,-34.59233,-58.41468,Entire home/apt,"$2,655.00",1,0,,0.0,1,364,2655.0,79650.0,medium
38835837,Departamento completo / Studio en Pleno Recoleta,30722069,Diego,Recoleta,-34.58903,-58.39066,Entire home/apt,"$3,983.00",1,25,2020-02-27,3.75,3,362,3983.0,119490.0,high
38835848,5900 LIBERTADOR en BELGRANO,112765062,Liliana,Belgrano,-34.55607,-58.44632,Entire home/apt,"$1,726.00",3,0,,0.0,1,235,1726.0,51780.0,medium
38836189,Excelente depto en El Barrio recoleta,297326507,Axel,Recoleta,-34.5961,-58.40718,Entire home/apt,"$2,987.00",3,0,,0.0,1,89,2987.0,89610.0,high
38836287,Beautiful light - Excellent location,151787668,María Victoria,Recoleta,-34.59577,-58.40635,Private room,"$3,319.00",1,0,,0.0,2,364,3319.0,99570.0,high
38836436,Sweet suite HOTEL!  :) Recoleta,255235964,Aloha-Fácil,Recoleta,-34.59749,-58.39163,Entire home/apt,"$2,323.00",2,5,2020-01-26,0.78,5,179,2323.0,69690.0,medium
